,FIPS,Combined_Key,Flagged Dates,Value Day 1,Value Day 2
238,45019.0,"Charleston, South Carolina, US",4/6/20,2,1
239,45041.0,"Florence, South Carolina, US",4/24/20,8,7
240,47005.0,"Benton, Tennessee, US",4/25/20,2,1
241,47089.0,"Jefferson, Tennessee, US",4/20/20,1,0
242,47093.0,"Knox, Tennessee, US",4/9/20,4,3
243,47157.0,"Shelby, Tennessee, US",4/13/20,26,21
244,47157.0,"Shelby, Tennessee, US",4/24/20,44,42
245,47165.0,"Sumner, Tennessee, US",4/3/20,11,8
246,47179.0,"Washington, Tennessee, US",4/8/20,2,0
247,47187.0,"Williamson, Tennessee, US",4/6/20,3,2
248,48165.0,"Gaines, Texas, US",4/14/20,1,0
249,48189.0,"Hale, Texas, US",4/14/20,5,2
250,48201.0,"Harris, Texas, US",3/20/20,1,0
251,48241.0,"Jasper, Texas, US",4/13/20,1,0
252,48423.0,"Smith, Texas, US",4/15/20,2,1
253,48453.0,"Travis, Texas, US",4/7/20,6,4
254,49053.0,"Washington,Utah,US",4/19/20,1,0
255,49057.0,"Weber,Utah,US",4/19/20,1,0
256,51009.0,"Amherst, Virginia, US",4/28/20,1,0
257,51683.0,"Manassas,Virginia,US",4/30/20,3,2
258,53007.0,"Chelan, Washington, US",4/20/20,6,5
259,53011.0,"Clark, Washington, US",4/23/20,16,15
260,53023.0,"Garfield, Washington, US",3/23/20,2,0
261,53025.0,"Grant, Washington, US",4/3/20,1,0
262,53035.0,"Kitsap, Washington, US",3/29/20,1,0
263,53037.0,"Kittitas, Washington, US",4/13/20,1,0
264,53053.0,"Pierce, Washington, US",4/24/20,44,43
265,53063.0,"Spokane, Washington, US",4/11/20,17,14
266,55011.0,"Buffalo, Wisconsin, US",4/9/20,2,1
267,55039.0,"Fond du Lac, Wisconsin, US",3/20/20,2,1
268,55059.0,"Kenosha, Wisconsin, US",4/14/20,4,3
269,55081.0,"Monroe, Wisconsin, US",4/16/20,1,0
270,55081.0,"Monroe, Wisconsin, US",4/25/20,1,0
271,55089.0,"Ozaukee, Wisconsin, US",3/20/20,2,1
272,55105.0,"Rock, Wisconsin, US",4/13/20,4,3
273,55111.0,"Sauk, Wisconsin, US",4/16/20,4,3
274,,"Kansas City,Missouri,US",4/6/20,2,0
275,80008.0,"Out of CO, Colorado, US",4/12/20,1,0
276,80013.0,"Out of GA, Georgia, US",4/26/20,10,9
277,80026.0,"Out of MI, Michigan, US",4/22/20,2,1
278,80026.0,"Out of MI, Michigan, US",4/23/20,1,0
279,80026.0,"Out of MI, Michigan, US",4/29/20,1,0
280,80047.0,"Out of TN, Tennessee, US",4/8/20,1,0
281,80047.0,"Out of TN, Tennessee, US",4/28/20,3,2
282,80047.0,"Out of TN, Tennessee, US",4/30/20,3,1
283,90001.0,"Unassigned, Alabama, US",4/1/20,8,0
284,90001.0,"Unassigned, Alabama, US",4/3/20,5,0
285,90002.0,"Unassigned, Alaska, US",4/7/20,5,1
286,90004.0,"Unassigned, Arizona, US",3/27/20,4,2
287,90004.0,"Unassigned, Arizona, US",4/2/20,18,3
288,90004.0,"Unassigned, Arizona, US",4/4/20,12,2
289,90004.0,"Unassigned, Arizona, US",4/8/20,14,12
290,90004.0,"Unassigned, Arizona, US",4/12/20,29,22
291,90004.0,"Unassigned, Arizona, US",4/13/20,22,18
292,90004.0,"Unassigned, Arizona, US",4/18/20,42,0
293,90004.0,"Unassigned, Arizona, US",4/21/20,1,0
294,90005.0,"Unassigned, Arkansas, US",3/30/20,5,2
295,90005.0,"Unassigned, Arkansas, US",4/9/20,12,0
296,90006.0,"Unassigned, California, US",3/30/20,1,0
297,90006.0,"Unassigned, California, US",4/2/20,1,0
298,90006.0,"Unassigned, California, US",4/4/20,2,0
299,90006.0,"Unassigned, California, US",4/10/20,2,0
300,90008.0,"Unassigned, Colorado, US",3/28/20,8,1
301,90008.0,"Unassigned, Colorado, US",4/3/20,4,0
302,90008.0,"Unassigned, Colorado, US",4/8/20,29,1
303,90008.0,"Unassigned, Colorado, US",4/11/20,34,1
304,90008.0,"Unassigned, Colorado, US",4/12/20,1,0
305,90008.0,"Unassigned, Colorado, US",4/28/20,2,1
306,90009.0,"Unassigned, Connecticut, US",4/2/20,2,1
307,90009.0,"Unassigned, Connecticut, US",4/6/20,1,0
308,90009.0,"Unassigned, Connecticut, US",4/9/20,52,2
309,90009.0,"Unassigned, Connecticut, US",4/12/20,5,4
310,90009.0,"Unassigned, Connecticut, US",4/15/20,4,2
311,90009.0,"Unassigned, Connecticut, US",4/26/20,6,0
312,90010.0,"Unassigned, Delaware, US",3/28/20,1,0
313,90010.0,"Unassigned, Delaware, US",4/1/20,3,0
314,90010.0,"Unassigned, Delaware, US",4/6/20,2,0
315,90010.0,"Unassigned, Delaware, US",4/11/20,16,0
316,90010.0,"Unassigned, Delaware, US",4/13/20,2,0
317,90010.0,"Unassigned, Delaware, US",4/17/20,3,0
318,90012.0,"Unassigned, Florida, US",3/21/20,2,0
319,90012.0,"Unassigned, Florida, US",3/25/20,1,0
320,90012.0,"Unassigned, Florida, US",3/29/20,8,2
321,90012.0,"Unassigned, Florida, US",3/31/20,4,0
322,90012.0,"Unassigned, Florida, US",4/3/20,20,7
323,90012.0,"Unassigned, Florida, US",4/4/20,7,1
324,90012.0,"Unassigned, Florida, US",4/5/20,1,0
325,90012.0,"Unassigned, Florida, US",4/8/20,29,0
326,90012.0,"Unassigned, Florida, US",4/15/20,47,0
327,90013.0,"Unassigned, Georgia, US",3/20/20,7,4
328,90013.0,"Unassigned, Georgia, US",3/28/20,42,2
329,90013.0,"Unassigned, Georgia, US",3/30/20,2,1
330,90013.0,"Unassigned, Georgia, US",4/2/20,2,1
331,90013.0,"Unassigned, Georgia, US",4/8/20,7,6
332,90013.0,"Unassigned, Georgia, US",4/10/20,8,5
333,90013.0,"Unassigned, Georgia, US",4/11/20,5,4
334,90013.0,"Unassigned, Georgia, US",4/13/20,4,1
335,90013.0,"Unassigned, Georgia, US",4/16/20,7,0
336,90013.0,"Unassigned, Georgia, US",4/21/20,2,0
337,90013.0,"Unassigned, Georgia, US",4/26/20,1,0
338,90013.0,"Unassigned, Georgia, US",4/30/20,2,0
339,90015.0,"Unassigned, Hawaii, US",4/2/20,1,0
340,90015.0,"Unassigned, Hawaii, US",4/11/20,1,0
341,90017.0,"Unassigned, Illinois, US",3/23/20,3,0
342,90017.0,"Unassigned, Illinois, US",3/25/20,4,0
343,90017.0,"Unassigned, Illinois, US",4/5/20,1,0
344,90017.0,"Unassigned, Illinois, US",4/11/20,1,0
345,90017.0,"Unassigned, Illinois, US",4/21/20,3,2
346,90017.0,"Unassigned, Illinois, US",4/22/20,2,1
347,90017.0,"Unassigned, Illinois, US",4/23/20,1,0
348,90017.0,"Unassigned, Illinois, US",4/26/20,1,0
349,90018.0,"Unassigned, Indiana, US",4/7/20,12,0
350,90018.0,"Unassigned, Indiana, US",4/17/20,1,0
351,90019.0,"Unassigned, Iowa, US",4/5/20,3,0
352,90019.0,"Unassigned, Iowa, US",4/13/20,6,3
353,90019.0,"Unassigned, Iowa, US",4/15/20,6,0
354,90020.0,"Unassigned, Kansas, US",4/7/20,5,0
355,90020.0,"Unassigned, Kansas, US",4/12/20,11,4
356,90020.0,"Unassigned, Kansas, US",4/14/20,5,2
357,90020.0,"Unassigned, Kansas, US",4/15/20,2,0
358,90021.0,"Unassigned, Kentucky, US",4/3/20,14,3
359,90021.0,"Unassigned, Kentucky, US",4/5/20,6,0
360,90021.0,"Unassigned, Kentucky, US",4/14/20,28,0
361,90021.0,"Unassigned, Kentucky, US",4/16/20,9,0
362,90021.0,"Unassigned, Kentucky, US",4/20/20,6,0
363,90022.0,"Unassigned, Louisiana, US",3/29/20,1,0
364,90022.0,"Unassigned, Louisiana, US",4/1/20,4,0
365,90022.0,"Unassigned, Louisiana, US",4/4/20,4,0
366,90022.0,"Unassigned, Louisiana, US",4/6/20,4,3
367,90022.0,"Unassigned, Louisiana, US",4/7/20,3,2
368,90022.0,"Unassigned, Louisiana, US",4/13/20,3,0
369,90022.0,"Unassigned, Louisiana, US",4/22/20,2,1
370,90022.0,"Unassigned, Louisiana, US",4/26/20,63,59
371,90022.0,"Unassigned, Louisiana, US",4/27/20,59,43
372,90023.0,"Unassigned, Maine, US",4/7/20,3,0
373,90024.0,"Unassigned, Maryland, US",3/31/20,1,0
374,90024.0,"Unassigned, Maryland, US",4/2/20,12,0
375,90024.0,"Unassigned, Maryland, US",4/22/20,120,108
376,90024.0,"Unassigned, Maryland, US",4/23/20,108,106
377,90024.0,"Unassigned, Maryland, US",4/27/20,145,87
378,90024.0,"Unassigned, Maryland, US",4/29/20,106,87
379,90024.0,"Unassigned, Maryland, US",4/30/20,87,83
380,90025.0,"Unassigned, Massachusetts, US",4/11/20,179,13
381,90025.0,"Unassigned, Massachusetts, US",4/12/20,13,12
382,90025.0,"Unassigned, Massachusetts, US",4/15/20,100,14
383,90025.0,"Unassigned, Massachusetts, US",4/21/20,20,8
384,90025.0,"Unassigned, Massachusetts, US",4/25/20,603,13
385,90025.0,"Unassigned, Massachusetts, US",4/27/20,141,8
386,90025.0,"Unassigned, Massachusetts, US",4/28/20,8,5
387,90026.0,"Unassigned, Michigan, US",4/10/20,5,2
388,90026.0,"Unassigned, Michigan, US",4/13/20,12,4
389,90026.0,"Unassigned, Michigan, US",4/17/20,5,4
390,90026.0,"Unassigned, Michigan, US",4/18/20,4,3
391,90026.0,"Unassigned, Michigan, US",4/22/20,4,0
392,90026.0,"Unassigned, Michigan, US",4/29/20,2,0
393,90027.0,"Unassigned, Minnesota, US",3/28/20,2,0
394,90027.0,"Unassigned, Minnesota, US",3/30/20,4,1
395,90027.0,"Unassigned, Minnesota, US",4/4/20,11,5
396,90027.0,"Unassigned, Minnesota, US",4/5/20,5,3
397,90027.0,"Unassigned, Minnesota, US",4/6/20,3,0
398,90027.0,"Unassigned, Minnesota, US",4/12/20,1,0
399,90028.0,"Unassigned, Mississippi, US",3/31/20,2,0
400,90029.0,"Unassigned, Missouri, US",4/9/20,3,1
401,90029.0,"Unassigned, Missouri, US",4/10/20,1,0
402,90029.0,"Unassigned, Missouri, US",4/13/20,1,0
403,90030.0,"Unassigned, Montana, US",3/28/20,1,0
404,90031.0,"Unassigned, Nebraska, US",4/6/20,1,0
405,90031.0,"Unassigned, Nebraska, US",4/23/20,20,9
406,90031.0,"Unassigned, Nebraska, US",4/30/20,18,3
407,90032.0,"Unassigned, Nevada, US",3/27/20,4,0
408,90032.0,"Unassigned, Nevada, US",4/8/20,12,0
409,90032.0,"Unassigned, Nevada, US",4/12/20,16,0
410,90032.0,"Unassigned, Nevada, US",4/15/20,6,0
411,90032.0,"Unassigned, Nevada, US",4/17/20,6,1
412,90032.0,"Unassigned, Nevada, US",4/18/20,1,0
413,90032.0,"Unassigned, Nevada, US",4/24/20,5,2
414,90032.0,"Unassigned, Nevada, US",4/25/20,2,0
415,90032.0,"Unassigned, Nevada, US",4/28/20,1,0
416,90033.0,"Unassigned, New Hampshire, US",4/30/20,57,12
417,90034.0,"Unassigned, New Jersey, US",3/21/20,6,0
418,90034.0,"Unassigned, New Jersey, US",3/29/20,86,56
419,90034.0,"Unassigned, New Jersey, US",4/1/20,247,0
420,90034.0,"Unassigned, New Jersey, US",4/5/20,14,13
421,90034.0,"Unassigned, New Jersey, US",4/7/20,14,5
422,90034.0,"Unassigned, New Jersey, US",4/8/20,5,4
423,90034.0,"Unassigned, New Jersey, US",4/10/20,4,2
424,90034.0,"Unassigned, New Jersey, US",4/18/20,3,2
425,90034.0,"Unassigned, New Jersey, US",4/19/20,2,0
426,90034.0,"Unassigned, New Jersey, US",4/22/20,233,0
427,90036.0,"Unassigned, New York, US",3/21/20,4,0
428,90036.0,"Unassigned, New York, US",3/23/20,38,36
429,90036.0,"Unassigned, New York, US",3/25/20,39,31
430,90036.0,"Unassigned, New York, US",4/3/20,675,623
431,90036.0,"Unassigned, New York, US",4/4/20,623,427
432,90036.0,"Unassigned, New York, US",4/5/20,427,338
433,90036.0,"Unassigned, New York, US",4/6/20,338,309
434,90036.0,"Unassigned, New York, US",4/7/20,309,116
435,90036.0,"Unassigned, New York, US",4/9/20,152,73
436,90036.0,"Unassigned, New York, US",4/10/20,73,0
437,90036.0,"Unassigned, New York, US",4/13/20,40,0
438,90036.0,"Unassigned, New York, US",4/19/20,1059,401
439,90036.0,"Unassigned, New York, US",4/20/20,401,48
440,90036.0,"Unassigned, New York, US",4/21/20,48,3
441,90036.0,"Unassigned, New York, US",4/22/20,3,0
442,90037.0,"Unassigned, North Carolina, US",3/26/20,1,0
443,90037.0,"Unassigned, North Carolina, US",3/31/20,1,0
444,90037.0,"Unassigned, North Carolina, US",4/8/20,2,0
445,90038.0,"Unassigned, North Dakota, US",3/31/20,1,0
446,90039.0,"Unassigned, Ohio, US",4/11/20,18,0
447,90039.0,"Unassigned, Ohio, US",4/17/20,16,0
448,90040.0,"Unassigned, Oklahoma, US",4/2/20,1,0
449,90040.0,"Unassigned, Oklahoma, US",4/19/20,5,0
450,90041.0,"Unassigned, Oregon, US",4/11/20,1,0
451,90044.0,"Unassigned, Rhode Island, US",4/3/20,12,11
452,90047.0,"Unassigned, Tennessee, US",4/2/20,11,0
453,90049.0,"Unassigned, Utah, US",4/13/20,5,0
454,90049.0,"Unassigned, Utah, US",4/17/20,7,0
455,90050.0,"Unassigned, Vermont, US",3/20/20,1,0
456,90050.0,"Unassigned, Vermont, US",3/24/20,3,2
457,90050.0,"Unassigned, Vermont, US",4/9/20,18,0
458,90050.0,"Unassigned, Vermont, US",4/11/20,1,0
459,90050.0,"Unassigned, Vermont, US",4/20/20,1,0
460,90051.0,"Unassigned, Virginia, US",3/30/20,5,0
461,90051.0,"Unassigned, Virginia, US",4/8/20,50,42
462,90051.0,"Unassigned, Virginia, US",4/12/20,91,62
463,90051.0,"Unassigned, Virginia, US",4/16/20,101,77
464,90051.0,"Unassigned, Virginia, US",4/17/20,77,67
465,90051.0,"Unassigned, Virginia, US",4/22/20,140,0
466,90054.0,"Unassigned, West Virginia, US",4/3/20,1,0
467,90054.0,"Unassigned, West Virginia, US",4/23/20,20,0
468,90055.0,"Unassigned, Wisconsin, US",4/3/20,5,4
469,90055.0,"Unassigned, Wisconsin, US",4/5/20,4,0
470,99999.0,"Grand Princess, US",4/12/20,3,0
